Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	100	William Rehnquist	Leah O. Brannon	2002	2003	Harvard (1999)	D. Ginsburg (D.C. Cir.)
CJ	100	William Rehnquist	Andrew R. DeVooght	2002	2003	Illinois (2000)	Kanne (7th Cir.)
CJ	100	William Rehnquist	Robert K. Hur	2002	2003	Stanford (2001)	Kozinski (9th Cir.)
CJ	100	William Rehnquist	Leon F. DeJulius	2003	2004	Notre Dame (2002)	O'Scannlain (9th Cir.)
CJ	100	William Rehnquist	Courtney C. Gilligan	2003	2004	GW (2002)	F. Magill (8th Cir.)
CJ	100	William Rehnquist	Aaron M. Streett	2003	2004	Texas (2002)	Sentelle (D.C. Cir.)
CJ	100	William Rehnquist	Jeffrey L. Oldham	2004	2005	Northwestern (2003)	Wilkinson (4th Cir.)
CJ	100	William Rehnquist	Julius N. Richardson	2004	2005	Chicago (2003)	Posner (7th Cir.)
CJ	100	William Rehnquist	Ryan A. Shores	2004	2005	Virginia (2003)	Ripple (7th Cir.)
CJ	100	William Rehnquist	Mark W. Mosier	2005	September 3, 2005	Chicago (2004)	Tacha (10th Cir.)
CJ	100	William Rehnquist	Ann E. O'Connell	2005	September 3, 2005	GW (2004)	F. Magill (8th Cir.)
CJ	100	William Rehnquist	Michael S. Passaportis	2005	September 3, 2005	Virginia (2004)	Wilkinson (4th Cir.)
CJ	109	John Roberts	Daniel P. Kearney, Jr.	September 29, 2005	2006	Yale (2004)	J. Roberts (D.C. Cir.)
CJ	109	John Roberts	Mark W. Mosier	September 29, 2005	2006	Chicago (2004)	Rehnquist / Tacha (10th Cir.)
CJ	109	John Roberts	Ann E. O'Connell	September 29, 2005	2006	GW (2004)	Rehnquist / F. Magill (8th Cir.)
CJ	109	John Roberts	Michael S. Passaportis	September 29, 2005	2006	Virginia (2004)	Rehnquist / Wilkinson (4th Cir.)
CJ	109	John Roberts	Kosta Stojilkovic	September 29, 2005	2006	Virginia (2004)	J. Roberts (D.C. Cir.)
CJ	109	John Roberts	Felicia H. Ellsworth	2006	2007	Chicago (2005)	Boudin (1st Cir.)
CJ	109	John Roberts	George W. Hicks, Jr.	2006	2007	Harvard (2005)	Janice R. Brown (D.C. Cir.)
CJ	109	John Roberts	Keenan D. Kmiec	2006	2007	Berkeley (2004)	Sentelle (D.C. Cir.) / Alito (3d Cir.)
CJ	109	John Roberts	Paul J. Nathanson	2006	2007	Harvard (2004)	Silberman (D.C. Cir.) / Niemeyer (4th Cir.)
CJ	109	John Roberts	Jason T. Burnette	2007	2008	Georgia (2006)	R. L. Anderson (11th Cir.)
CJ	109	John Roberts	Joshua Hawley	2007	2008	Yale (2006)	McConnell (10th Cir.)
CJ	109	John Roberts	Anton Metlitsky	2007	2008	Harvard (2005)	Garland (D.C. Cir.)
CJ	109	John Roberts	Erin Morrow Hawley	2007	2008	Yale (2005)	Wilkinson (4th Cir.)
CJ	109	John Roberts	William Baude	2008	2009	Yale (2007)	McConnell (10th Cir.)
CJ	109	John Roberts	Jeffrey Harris	2008	2009	Harvard (2006)	Sentelle (D.C. Cir.) / Silberman (D.C. Cir.)
CJ	109	John Roberts	Erin Murphy	2008	2009	Georgetown (2006)	Sykes (7th Cir.)
CJ	109	John Roberts	Porter Wilkinson	2008	2009	Virginia (2007)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Roman Martinez	2009	2010	Yale (2008)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	James McDonald	2009	2010	Virginia (2007)	Sutton (6th Cir.)
CJ	109	John Roberts	Stephen Sachs	2009	2010	Yale (2007)	S. Williams (D.C. Cir.)
CJ	109	John Roberts	Erik R. Zimmerman	2009	2010	Stanford (2007)	Wilkinson (4th Cir.)
CJ	109	John Roberts	Paul Crane	2010	2011	Virginia (2007)	Wilkinson (4th Cir.)
CJ	109	John Roberts	Kate Heinzelman	2010	2011	Yale (2009)	Garland (D.C. Cir.)
CJ	109	John Roberts	Kathryn Tarbert	2010	2011	Vanderbilt (2005)	D. Ginsburg (D.C. Cir.)
CJ	109	John Roberts	Zac Hudson	2010	2011	Yale (2009)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Christoper DiPompeo	2011	2012	Penn (2009)	Niemeyer (4th Cir.)
CJ	109	John Roberts	Frederick Liu	2011	2012	Yale (2008)	O'Scannlain (9th Cir.) / Colloton (8th Cir.)
CJ	109	John Roberts	Colleen Roh	2011	2012	Harvard (2010)	Garland (D.C. Cir.)
CJ	109	John Roberts	Hagan Scotten	2011	2012	Harvard (2010)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Caroline Edsall	2012	2013	Yale (2010)	Kavanaugh (D.C. Cir.) / Brody (E.D. Pa.)
